state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Massachusetts,1473.5454545454545,632.0,824.7272727272727,0.0,0.0,0.09090909090909091,0.2727272727272727,0.6363636363636364,1.0909090909090908,1.0909090909090908,3.8181818181818183,7.0,23.90909090909091,1.6363636363636365,1.05,106.0,88.9090909090909,111.83333333333333,56.54545454545455,84.77777777777777,40.9,57.2,117.42857142857143,72.875
Michigan,1195.8275862068965,394.2068965517241,794.7241379310345,0.0,0.0,0.034482758620689655,0.10344827586206896,1.0689655172413792,1.5172413793103448,1.6896551724137931,3.310344827586207,7.724137931034483,27.071428571428573,2.75,0.6464285714285714,154.68965517241378,128.22222222222223,103.8695652173913,124.51724137931035,133.53846153846155,45.458333333333336,52.57692307692308,111.36363636363636,84.6086956521739
Minnesota,1251.5,361.7142857142857,886.2142857142857,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,1.5,1.0,2.4285714285714284,2.7857142857142856,8.0,25.428571428571427,2.6363636363636362,0.823076923076923,111.42857142857143,99.85714285714286,106.42857142857143,49.642857142857146,64.0,44.59571428571429,49.667142857142856,111.57142857142857,78.46153846153847
Missouri,1833.0,305.0,1558.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.5,6.0,15.5,2.0,0.2,30.0,30.0,69.0,35.0,23.0,43.0,48.0,85.0,23.5
Montana,8164.583333333333,2161.0833333333335,6060.5,0.08333333333333333,0.14285714285714285,0.16666666666666666,0.8333333333333334,0.5,2.25,2.4166666666666665,2.5833333333333335,8.916666666666666,84.58333333333333,3.0,2.3583333333333334,1784.1666666666667,255.85714285714286,105.66666666666667,62.083333333333336,272.75,51.90909090909091,51.90909090909091,118.55555555555556,236.66666666666666
Nevada,9132.25,1300.0,7442.5,0.0,0.0,0.5,0.25,1.5,0.75,1.0,1.0,5.0,32.25,3.0,1.575,527.5,218.5,103.75,46.75,208.75,78.5,81.0,113.0,
New Hampshire,2525.5,1370.4375,1142.5625,0.125,0.0,0.0625,1.1875,0.6875,1.8125,1.0625,2.5625,7.5,50.4375,3.0714285714285716,1.575,214.1875,179.875,123.13333333333334,61.125,132.375,65.57142857142857,76.5,128.6,62.666666666666664
New Jersey,1103.0,657.0,445.0,0.5,,0.0,1.0,1.0,0.5,1.5,3.0,7.5,29.0,2.0,1.15,95.0,95.0,85.0,56.0,55.0,79.99,79.99,100.0,90.5
New Mexico,10803.888888888889,1683.111111111111,9136.555555555555,0.2222222222222222,0.0,0.0,0.3333333333333333,1.0,2.0,1.5555555555555556,1.8888888888888888,7.0,61.333333333333336,2.25,2.3444444444444446,580.3333333333334,232.42857142857142,107.33333333333333,61.44444444444444,203.0,65.66666666666667,65.66666666666667,116.125,50.0
New York,2145.848484848485,889.2727272727273,1217.8484848484848,0.09090909090909091,0.0,0.09090909090909091,0.3939393939393939,0.7878787878787878,1.0606060606060606,1.878787878787879,2.4545454545454546,6.757575757575758,34.90909090909091,2.88,1.18125,167.0909090909091,144.25,108.36363636363636,56.75757575757576,131.26666666666668,50.03225806451613,58.945454545454545,112.125,113.44
